Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem
CYOR_u6m,Ubiquinol 6 cytochrome c reductase,2 ficytc_m + 1.5 h_m + q6h2_m  -> 2 focytc_m + 1.5 h_c + q6_m ,(( Q0105 and YBL045C and YDR529C and YEL024W and YFR033C and YGR183C and YHR001W_A and YJL166W and YOR065W and YPR191W ) and YEL039C ) or (( Q0105 and YBL045C and YDR529C and YEL024W and YFR033C and YGR183C and YHR001W_A and YJL166W and YOR065W and YPR191W ) and YJR048W ),0,999999,0,S_Oxidative_Phosphorylation
DHAPtm,Dihydroxyacetone phosphate transport  mitochondrial,dhap_m  -> dhap_c ,,0,999999,0,S_Transport__Mitochondrial
DHFR,Dihydrofolate reductase,dhf_c + h_c + nadph_c  -> nadp_c + thf_c ,YOR236W,0,999999,0,S_Folate_Metabolism
CYSS,Cysteine synthase,acser_c + h2s_c  -> ac_c + cys__L_c + h_c ,YGR012W,0,999999,0,S_Cysteine_Metabolism
4HBZCOAFm,4 hydroxybenzoyl CoA formation,coa_m + coucoa_m + h2o_m + nad_m  -> 4hbzcoa_m + accoa_m + h_m + nadh_m ,,0,999999,0,S_Quinone_Biosynthesis
CYSTGL,Cystathionine g lyase,cyst__L_c + h2o_c  -> 2obut_c + cys__L_c + nh4_c ,YAL012W,0,999999,0,S_Methionine_Metabolism
CYSTL,Cystathionine b-lyase,cyst__L_c + h2o_c  -> hcys__L_c + nh4_c + pyr_c ,YFR055W,0,999999,0,S_Methionine_Metabolism
CYSTLp,Cystathione b lyase  peroxisomal,cyst__L_x + h2o_x  -> hcys__L_x + nh4_x + pyr_x ,YGL184C,0,999999,0,S_Methionine_Metabolism
CYSTRS,Cysteinyl-tRNA synthetase,atp_c + cys__L_c + trnacys_c  -> amp_c + cystrna_c + ppi_c ,YNL247W,0,999999,0,S_tRNA_charging
CYSTS,Cystathionine beta synthase,hcys__L_c + ser__L_c  -> cyst__L_c + h2o_c ,YGR155W,0,999999,0,S_Glycine_and_Serine_Metabolism
DHFRim,Dihydrofolate reductase  mitochondrial,dhf_m + h_m + nadph_m  -> nadp_m + thf_m ,YOR236W,0,999999,0,S_Folate_Metabolism
DHFS,Dihydrofolate synthase,atp_c + dhpt_c + glu__L_c  -> adp_c + dhf_c + h_c + pi_c ,,0,999999,0,S_Folate_Metabolism
DHFtm,Dihydrofolate reversible mitochondrial transport,dhf_c  <=> dhf_m ,,-999999,999999,0,S_Transport__Mitochondrial
DHNPAm,Dihydroneopterin aldolase,dhnpt_m  -> 2ahhmp_m + gcald_m + h_m ,YNL256W,0,999999,0,S_Folate_Metabolism
DHNPTtm,Dhnpt mitochondrial transport,dhnpt_c  <=> dhnpt_m ,,-999999,999999,0,S_Transport__Mitochondrial
DHORD4i,Dihydoorotic acid  ubiquinone 6   irreversible,dhor__S_c + q6_m  -> orot_c + q6h2_m ,YKL216W,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
DHORDfum,Fumarate dependent DHORD,dhor__S_c + fum_c  -> orot_c + succ_c ,YKL216W,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
CYSTtp,Cystathione peroxisomal transport,cyst__L_c  <=> cyst__L_x ,,-999999,999999,0,S_Transport__Peroxisomal
CYSt2r,L cysteine reversible transport via proton symport,cys__L_e + h_e  <=> cys__L_c + h_c ,YKR039W or YDR508C or YBR068C or YDR046C or YBR069C or YOL020W,-999999,999999,0,S_Transport__Extracellular
CYTD,Cytidine deaminase,cytd_c + h2o_c + h_c  -> nh4_c + uri_c ,YLR245C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
CYTDK2,Cytidine kinase (GTP),cytd_c + gtp_c  -> cmp_c + gdp_c + h_c ,YNR012W,0,999999,0,S_Nucleotide_Salvage_Pathway
DHORDi,Dihydoorotic acid dehydrogenase  irreversible ,dhor__S_c + o2_c  -> h2o2_c + orot_c ,YKL216W,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
DHORTS,Dihydroorotase,dhor__S_c + h2o_c  <=> cbasp_c + h_c ,YLR420W or YJL130C,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
4HBZFm,4 hydroxybenzoate formation,4hbzcoa_m + h2o_m  -> 4hbz_m + coa_m + h_m ,,0,999999,0,S_Quinone_Biosynthesis
DHPSm,Dihydropteroate synthase  mitochondrial,2ahhmp_m + 4abz_m  -> dhpt_m + h2o_m ,YNL256W,0,999999,0,S_Folate_Metabolism
DHPTtm,Dihydropteroate mitochondrial transport via diffusion,dhpt_c  <=> dhpt_m ,,-999999,999999,0,S_Transport__Mitochondrial
DHQS,3-dehydroquinate synthase,2dda7p_c  -> 3dhq_c + pi_c ,YDR127W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
DHQTi,"3-dehydroquinate dehydratase, irreversible",3dhq_c  -> 3dhsk_c + h2o_c ,YDR127W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
CYTDt2,Cytidine transport in via proton symport,cytd_e + h_e  -> cytd_c + h_c ,YAL022C,0,999999,0,S_Transport__Extracellular
CYTK1,Cytidylate kinase (CMP),cmp_c + atp_c  <=> adp_c + cdp_c ,,-999999,999999,0,S_Nucleotide_Salvage_Pathway
CYTK2,Cytidylate kinase (dCMP),dcmp_c + atp_c  <=> adp_c + dcdp_c ,,-999999,999999,0,S_Nucleotide_Salvage_Pathway
DADA,Deoxyadenosine deaminase,dad_2_c + h2o_c + h_c  -> din_c + nh4_c ,YNL141W,0,999999,0,S_Nucleotide_Salvage_Pathway
DADK,Deoxyadenylate kinase,atp_c + damp_c  <=> adp_c + dadp_c ,,-999999,999999,0,S_Nucleotide_Salvage_Pathway
DIAT,Diamine transaminase,accoa_c + sprm_c  -> N1sprm_c + coa_c + h_c ,,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
DINSt2,Deoxyinosine transport in via proton symport,din_e + h_e  -> din_c + h_c ,,0,999999,0,S_Transport__Extracellular
DADNt2,Deoxyadenosine transport in via proton symport,dad_2_e + h_e  -> dad_2_c + h_c ,,0,999999,0,S_Transport__Extracellular
DIPS,Diphthine synthase,caphis_c + amet_c  -> ahcys_c + cmaphis_c + h_c ,YLR172C,0,999999,0,S_Methionine_Metabolism
DADPtn,DADP nuclear transport,dadp_c  <=> dadp_n ,,-999999,999999,0,S_Transport__Nuclear
4HBZtm,4 Hydroxybenzoate mitochondrial transport,4hbz_c  <=> 4hbz_m ,,-999999,999999,0,S_Transport__Mitochondrial
DAGCPT_SC,Diacylglycerol cholinephosphotransferase  yeast specific,0.01 12dgr_SC_c + cdpchol_c  -> cmp_c + h_c + 0.01 pc_SC_c ,YNL130C or YHR123W,0,999999,0,S_Phospholipid_Biosynthesis
DAGPYP_SC,Diacylglycerol pyrophosphate phosphatase  yeast specific,h2o_c + 0.01 pa_SC_c  -> 0.01 12dgr_SC_c + pi_c ,YDR503C or YDR284C,0,999999,0,S_Phospholipid_Biosynthesis
DKMPPD2,2 3 diketo 5 methylthio 1 phosphopentane degradation reaction,dkmpp_c + 3 h2o_c  -> 2kmb_c + for_c + 6 h_c + pi_c ,YMR009W and YEL038W,0,999999,0,S_Methionine_Metabolism
DMATT,Dimethylallyltranstransferase,dmpp_c + ipdp_c  -> grdp_c + ppi_c ,YJL167W,0,999999,0,S_Sterol_Metabolism
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c  -> dhnpt_c + pi_c ,YDL100C,0,999999,0,S_Folate_Metabolism
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c  -> dhpmp_c + h_c + ppi_c ,,0,999999,0,S_Folate_Metabolism
DOLK,Dolichol kinase,ctp_c + dolichol_c  -> cdp_c + dolp_c + h_c ,YMR013C,0,999999,0,S_Glycoprotein_Metabolism
DOLPMMer,Dolichyl phosphate mannose  protein mannosyltransferase  endoplasmic reticular,dolmanp_r  -> dolp_r + h_r + mannan_r ,( YDL095W and YAL023C ) or YOR321W or YJR143C or YDL093W or YGR199W,0,999999,0,S_Glycoprotein_Metabolism
DANNt2,7 8 Diaminononanoate reversible transport via proton symport,dann_e + h_e  <=> dann_c + h_c ,,-999999,999999,0,S_Transport__Extracellular
DASYN_SC,CDP Diacylglycerol synthetase  yeast specific,ctp_c + h_c + 0.01 pa_SC_c  <=> 0.01 cdpdag_SC_c + ppi_c ,YBR029C,-999999,999999,0,S_Phospholipid_Biosynthesis
DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,ctp_m + h_m + 0.01 pa_SC_m  <=> 0.01 cdpdag_SC_m + ppi_m ,YBR029C,-999999,999999,0,S_Phospholipid_Biosynthesis
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",ru5p__D_c  -> for_c + db4p_c + h_c ,YDR487C,0,999999,0,S_Riboflavin_Metabolism
DBTS,Dethiobiotin synthase,atp_c + co2_c + dann_c  <=> adp_c + dtbt_c + 3 h_c + pi_c ,YNR057C,-999999,999999,0,S_Pantothenate_and_CoA_Biosynthesis
DCDPtn,DCDP nuclear transport,dcdp_c  <=> dcdp_n ,,-999999,999999,0,S_Transport__Nuclear
DCMPDA,DCMP deaminase,dcmp_c + h2o_c + h_c  <=> dump_c + nh4_c ,YHR144C,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
DOLPMTcer,Dolichyl phosphate D mannosyltransferase,dolp_c + gdpmann_c  -> dolmanp_r + gdp_c ,YPR183W,0,999999,0,S_Glycoprotein_Metabolism
DOLPt2er,Dolichol phosphate endoplasmic reticular transport via proton symport,dolp_c + h_c  <=> dolp_r + h_r ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
4HGLSDm,L 4 hydroxyglutamate semialdehyde dehydrogenase  mitochondrial,4hglusa_m + h2o_m + nad_m  <=> e4hglu_m + 2 h_m + nadh_m ,YHR037W,-999999,999999,0,S_Arginine_and_Proline_Metabolism
DPCOAK,Dephospho-CoA kinase,atp_c + dpcoa_c  -> adp_c + coa_c + h_c ,,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
DPCOAKm,Dephospho CoA kinase  mitochondrial,atp_m + dpcoa_m  -> adp_m + coa_m + h_m ,,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
DPGM,Diphosphoglyceromutase,13dpg_c  <=> 23dpg_c + h_c ,YKL152C,-999999,999999,0,S_GlycolysisGluconeogenesis
DPMVD,Diphosphomevalonate decarboxylase,5dpmev_c + atp_c  -> adp_c + co2_c + ipdp_c + pi_c ,YNR043W,0,999999,0,S_Sterol_Metabolism
ECOAH4p,3 hydroxyacyl CoA dehydratase  3 hydroxydecanoyl CoA   peroxisomal,3hdcoa_x  <=> dc2coa_x + h2o_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
ECOAH5p,3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA   peroxisomal,3hddcoa_x  <=> dd2coa_x + h2o_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
DPR,2-dehydropantoate 2-reductase,2dhp_c + h_c + nadph_c  -> nadp_c + pant__R_c ,YHR063C,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
4HPRO_LTtm,Trans 4 hydroxy L proline mitochondrial transport via diffusion,4hpro_LT_c  <=> 4hpro_LT_m ,,-999999,999999,0,S_Transport__Mitochondrial
DPRm,2 dehydropantoate 2 reductase  mitochondrial,2dhp_m + h_m + nadph_m  -> nadp_m + pant__R_m ,YLR355C,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
ECOAH6p,3 hydroxyacyl CoA dehydratase  3 hydroxytetradecanoyl CoA   peroxisomal,3htdcoa_x  <=> h2o_x + td2coa_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
DRBK,Deoxyribokinase,atp_c + drib_c  -> 2dr5p_c + adp_c + h_c ,YCR036W,0,999999,0,S_Pentose_Phosphate_Pathway
ECOAH7p,3 hydroxyacyl CoA dehydratase  3 hydroxyhexadecanoyl CoA   peroxisomal,3hhdcoa_x  <=> h2o_x + hdd2coa_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
ECOAH8p,3 hydroxyacyl CoA dehydratase  3 hydroxyoctadecanoyl CoA   peroxisomal,3hodcoa_x  <=> h2o_x + od2coa_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
DROPPRy,2 5 diamino 6 ribosylamino 4 3H  pyrimidinone 5  phosphate reductase  nadph ,25dhpp_c + h_c + nadph_c  -> 25dthpp_c + nadp_c ,YBR153W,0,999999,0,S_Riboflavin_Metabolism
4HTHRS,4-Hydroxy-L-threonine synthase,h2o_c + phthr_c  -> 4hthr_c + pi_c ,YCR053W,0,999999,0,S_Threonine_and_Lysine_Metabolism
DRTPPD,2 5 diamino 6 ribitylamino 4 3H  pyrimidinone 5  phosphate deaminase,25dthpp_c + h2o_c + h_c  -> 5aprbu_c + nh4_c ,YOL066C,0,999999,0,S_Riboflavin_Metabolism
EHGLAT,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase,akg_c + e4hglu_c  -> 4h2oglt_c + glu__L_c ,YLR027C,0,999999,0,S_Arginine_and_Proline_Metabolism
EHGLATm,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase  mitochondrial,akg_m + e4hglu_m  -> 4h2oglt_m + glu__L_m ,YKL106W,0,999999,0,S_Arginine_and_Proline_Metabolism
EHGLATp,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase  peroxisomal,akg_x + e4hglu_x  -> 4h2oglt_x + glu__L_x ,YLR027C,0,999999,0,S_Arginine_and_Proline_Metabolism
ENO,Enolase,2pg_c  <=> h2o_c + pep_c ,YPL281C or YGR254W or YHR174W or YOR393W or YMR323W,-999999,999999,0,S_GlycolysisGluconeogenesis
EPGALURSe,Endopolygalacturonase  extracellular ,h2o_e + pectin_e  -> galur_e ,YJR153W,0,999999,0,S_Alternate_Carbon_Metabolism
EPISTAT_SC,Acyl CoAepisterol acyltransferase  yeast specific,0.01 epist_c + 0.655 hdcoa_c + 0.01 hexccoa_c + 0.02 pmtcoa_c + 0.27 odecoa_c + 0.03 stcoa_c + 0.015 tdcoa_c  -> coa_c + 0.01 epistest_SC_c ,YCR048W,0,999999,0,S_Sterol_Metabolism
DTMPK,DTMP kinase,atp_c + dtmp_c  <=> adp_c + dtdp_c ,YJR057W,-999999,999999,0,S_Nucleotide_Salvage_Pathway
DTTPt,DTTP reversible uniport,dttp_e  <=> dttp_c ,,-999999,999999,0,S_Transport__Extracellular
DUMPtn,DUMP nuclear transport,dump_c  <=> dump_n ,,-999999,999999,0,S_Transport__Nuclear
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),atp_c + duri_c  -> adp_c + dump_c + h_c ,,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
DURIPP,Deoxyuridine phosphorylase,duri_c + pi_c  <=> 2dr1p_c + ura_c ,YLR209C,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
DURIt2,Deoxyuridine transport in via proton symport,duri_e + h_e  -> duri_c + h_c ,,0,999999,0,S_Transport__Extracellular
DUTPDP,DUTP diphosphatase,dutp_c + h2o_c  -> dump_c + h_c + ppi_c ,YBR252W,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
EPISTESTH_SC,Episterol ester hydrolase  yeast specific,0.01 epistest_SC_c + h2o_c  -> 0.01 epist_c + h_c + 0.02 hdca_c + 0.655 hdcea_c + 0.01 hexc_c + 0.03 ocdca_c + 0.27 ocdcea_c + 0.015 ttdca_c ,YLL012W or YKL140W,0,999999,0,S_Sterol_Metabolism
EPISTESTH_SCe,Episterol ester hydrolase  yeast specific  extracellular ,0.01 epistest_SC_e + h2o_e  -> 0.01 epist_e + h_e + 0.02 hdca_e + 0.655 hdcea_e + 0.01 hexc_e + 0.03 ocdca_e + 0.27 ocdcea_e + 0.015 ttdca_e ,YLR020C,0,999999,0,S_Sterol_Metabolism
EPISTt,Episterol reversible transport,epist_e  <=> epist_c ,YOR011W or YIL013C,-999999,999999,0,S_Transport__Extracellular
DXHPScm,Deoxyhypusine synthase  cytosolicmitochondrial,h2o_c + spmd_c + q6_m  -> 13dampp_c + 4abutn_c + q6h2_m ,YHR068W,0,999999,0,S_Arginine_and_Proline_Metabolism
D_LACDcm,D lactate dehydrogenase  cytosolicmitochondrial,2 ficytc_m + lac__D_c  -> 2 focytc_m + pyr_c ,( YJR048W and YDL174C ) or ( YEL039C and YDL174C ) or ( YJR048W and YEL071W ) or ( YEL039C and YEL071W ),0,999999,0,S_Alternate_Carbon_Metabolism
EPMGH,Epimelibiose galactohydrolase,epm_c + h2o_c  <=> gal_c + man_c ,YBR184W,-999999,999999,0,S_Galactose_metabolism
4MOPDC,4 Methyl 2 oxopentanoate decarboxylase,4mop_c + h_c  -> 3mbald_c + co2_c ,YDL080C or YDR380W,0,999999,0,S_Complex_Alcohol_Metabolism
ERGSTAT_SC,Acyl CoAergosterol acyltransferase  yeast specific,0.01 ergst_c + 0.655 hdcoa_c + 0.01 hexccoa_c + 0.02 pmtcoa_c + 0.27 odecoa_c + 0.03 stcoa_c + 0.015 tdcoa_c  -> coa_c + 0.01 ergstest_SC_c ,YCR048W or YNR019W,0,999999,0,S_Sterol_Metabolism
ERGSTESTH_SC,Ergosterol ester hydrolase  yeast specific,0.01 ergstest_SC_c + h2o_c  -> 0.01 ergst_c + h_c + 0.02 hdca_c + 0.655 hdcea_c + 0.01 hexc_c + 0.03 ocdca_c + 0.27 ocdcea_c + 0.015 ttdca_c ,YKL140W or YLL012W,0,999999,0,S_Sterol_Metabolism
ERGSTESTH_SCe,Ergosterol ester hydrolase  yeast specific  extracellular ,0.01 ergstest_SC_e + h2o_e  -> 0.01 ergst_e + h_e + 0.02 hdca_e + 0.655 hdcea_e + 0.01 hexc_e + 0.03 ocdca_e + 0.27 ocdcea_e + 0.015 ttdca_e ,YLR020C,0,999999,0,S_Sterol_Metabolism
ERGSTGLCT,UDP glucoseergosterol glucosyltransferase,ergst_c + udpg_c  -> ergst3glc_c + h_c + udp_c ,YLR189C,0,999999,0,S_Sterol_Metabolism
D_LACDm,D lactate dehydrogenase  mitochondrial,2 ficytc_m + lac__D_m  -> 2 focytc_m + pyr_m ,( YJR048W and YDL178W ) or ( YEL039C and YDL178W ),0,999999,0,S_Pyruvate_Metabolism
D_LACt2,D lactate transport via proton symport,h_e + lac__D_e  <=> h_c + lac__D_c ,YKL217W,-999999,999999,0,S_Transport__Extracellular
D_LACt2m,D lactatepyruvate antiport  mitochondrial,lac__D_c + pyr_m  <=> lac__D_m + pyr_c ,,-999999,999999,0,S_Transport__Mitochondrial
D_LACtm,D lactate transport  mitochondrial,h_c + lac__D_c  <=> h_m + lac__D_m ,,-999999,999999,0,S_Transport__Mitochondrial
E4HGLUtm,L erythro 4 hydroxyglutamate mitochondrial transport via diffusion,e4hglu_c  <=> e4hglu_m ,,-999999,999999,0,S_Transport__Mitochondrial
ERGSTt,Ergosterol reversible transport,ergst_e  <=> ergst_c ,YIL013C or YOR011W,-999999,999999,0,S_Transport__Extracellular
ERGSTter,Ergosterol endoplasmic reticular transport,ergst_r  <=> ergst_c ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
ERGTETROLter,Ergosta 5 6 22 24  28  tetraen 3beta ol endoplamic reticular transport,ergtetrol_c  <=> ergtetrol_r ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
E4HGLUtp,L erythro 4 hydroxyglutamate peroxisomal transport via diffusion,e4hglu_c  <=> e4hglu_x ,,-999999,999999,0,S_Transport__Peroxisomal
E4Ptm,D erythrose 4 phosphate mtiochondrial transport via diffusion,e4p_c  <=> e4p_m ,,-999999,999999,0,S_Transport__Mitochondrial
ETHAK,Ethanolamine kinase,atp_c + etha_c  -> adp_c + ethamp_c + h_c ,YDR147W,0,999999,0,S_Phospholipid_Biosynthesis
5AOPt2,5 Aminolevulinate transport in via proton symport,5aop_e + h_e  -> 5aop_c + h_c ,YDL210W,0,999999,0,S_Transport__Extracellular
ETHAPT_SC,Ethanolaminephosphotransferase  yeast specific,0.01 12dgr_SC_c + cdpea_c  <=> cmp_c + h_c + 0.01 pe_SC_c ,YHR123W,-999999,999999,0,S_Phospholipid_Biosynthesis
ETHAt,Ethanolamine transport via diffusion  extracellular ,etha_e  <=> etha_c ,,-999999,999999,0,S_Transport__Extracellular
ETOHt,Ethanol reversible transport,etoh_e  <=> etoh_c ,,-999999,999999,0,S_Transport__Extracellular
ETOHtm,Ethanol transport to mitochondria  diffusion ,etoh_c  <=> etoh_m ,,-999999,999999,0,S_Transport__Mitochondrial
ECOAH11p,3 hydroxyacyl CoA dehydratase  3 hydroxyhexacosyl CoA   peroxisomal,hxc2coa_x + h2o_x  <=> 3hxccoa_x ,YKR009C,-999999,999999,0,S_Fatty_Acid_Degradation
EX_ergst_e,Ergosterol exchange,ergst_e  -> ,,0,999999,0,Extracellular exchange
EX_ergstest_SC_e,Ergosterol ester  yeast specific exchange,ergstest_SC_e  -> ,,0,999999,0,Extracellular exchange
EX_13BDglcn_e,1 3 beta D Glucan exchange,13BDglcn_e  -> ,,0,999999,0,Extracellular exchange
EX_etha_e,Ethanolamine exchange,etha_e  -> ,,0,999999,0,Extracellular exchange
EX_2hb_e,2 Hydroxybutyrate exchange,2hb_e  -> ,,0,999999,0,Extracellular exchange
EX_etoh_e,Ethanol exchange,etoh_e  -> ,,0,999999,0,Extracellular exchange
5AOPtm,5 Aminolevulinate mitochondrial transport,5aop_c  <=> 5aop_m ,,-999999,999999,0,S_Transport__Mitochondrial
EX_fe2_e,Fe2+ exchange,fe2_e  <=> ,,-999999,999999,0,Extracellular exchange
EX_fecost_e,Fecosterol exchange,fecost_e  -> ,,0,999999,0,Extracellular exchange
EX_2mbac_e,2 methylbutyl acetate exchange,2mbac_e  -> ,,0,999999,0,Extracellular exchange
EX_2mbald_e,2 methylbutyraldehyde exchange,2mbald_e  -> ,,0,999999,0,Extracellular exchange
EX_2mbtoh_e,2 methyl 1 butanol exchange,2mbtoh_e  -> ,,0,999999,0,Extracellular exchange
EX_2mppal_e,2 methylpropanal exchange,2mppal_e  -> ,,0,999999,0,Extracellular exchange
EX_2phetoh_e,2 phenylethanol exchange,2phetoh_e  -> ,,0,999999,0,Extracellular exchange
EX_fecostest_SC_e,Fecosterol ester  yeast specific exchange,fecostest_SC_e  -> ,,0,999999,0,Extracellular exchange
EX_fmn_e,FMN exchange,fmn_e  -> ,,0,999999,0,Extracellular exchange
EX_3c3hmp_e,3 Carboxy 3 hydroxy 4 methylpentanoate exchange,3c3hmp_e  -> ,,0,999999,0,Extracellular exchange
6PGLter,6 phospho D glucono 1 5 lactone endoplasmic reticular transport via diffusion,6pgl_c  <=> 6pgl_r ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
EX_3mbald_e,3 Methylbutanal exchange,3mbald_e  -> ,,0,999999,0,Extracellular exchange
EX_for_e,Formate exchange,for_e  -> ,,0,999999,0,Extracellular exchange
EX_fru_e,D-Fructose exchange,fru_e  -> ,,0,999999,0,Extracellular exchange
EX_3mop_e,3mop exchange,3mop_e  -> ,,0,999999,0,Extracellular exchange
8AONNt2,8 Amino 7 oxononanoate reversible transport via proton symport,8aonn_e + h_e  <=> 8aonn_c + h_c ,YNR056C,-999999,999999,0,S_Transport__Extracellular
EX_4abut_e,4-Aminobutanoate exchange,4abut_e  -> ,,0,999999,0,Extracellular exchange
EX_fum_e,Fumarate exchange,fum_e  -> ,,0,999999,0,Extracellular exchange
EX_g3pc_e,Sn-Glycero-3-phosphocholine exchange,g3pc_e  -> ,,0,999999,0,Extracellular exchange
EX_4abz_e,4 Aminobenzoate exchange,4abz_e  -> ,,0,999999,0,Extracellular exchange
AABTN,4 acetamidobutyrate deacetylase,4aabutn_c + h2o_c  -> 4abut_c + ac_c ,,0,999999,0,S_Other_Amino_Acid_Metabolism
EX_5aop_e,5 Amino 4 oxopentanoate exchange,5aop_e  -> ,,0,999999,0,Extracellular exchange
EX_g3pi_e,Sn-Glycero-3-phospho-1-inositol exchange,g3pi_e  -> ,,0,999999,0,Extracellular exchange
EX_gal_e,D-Galactose exchange,gal_e  -> ,,0,999999,0,Extracellular exchange
EX_8aonn_e,8 Amino 7 oxononanoate exchange,8aonn_e  -> ,,0,999999,0,Extracellular exchange
EX_Nbfortyr_e,N N bisformyl dityrosine exchange,Nbfortyr_e  -> ,,0,999999,0,Extracellular exchange
EX_abt_e,L Arabinitol exchange,abt_e  -> ,,0,999999,0,Extracellular exchange
EX_ac_e,Acetate exchange,ac_e  -> ,,0,999999,0,Extracellular exchange
EX_acald_e,Acetaldehyde exchange,acald_e  -> ,,0,999999,0,Extracellular exchange
EX_aces_e,Acetic ester exchange,aces_e  -> ,,0,999999,0,Extracellular exchange
EX_galur_e,D-Galacturonate exchange,galur_e  -> ,,0,999999,0,Extracellular exchange
EX_gam6p_e,D-Glucosamine 6-phosphate exchange,gam6p_e  -> ,,0,999999,0,Extracellular exchange
EX_gcald_e,Glycolaldehyde exchange,gcald_e  -> ,,0,999999,0,Extracellular exchange
EX_glc__D_e,D-Glucose exchange,glc__D_e  <=> ,,-100,999999,0,Extracellular exchange
EX_gln__L_e,L-Glutamine exchange,gln__L_e  -> ,,0,999999,0,Extracellular exchange
EX_glu__L_e,L-Glutamate exchange,glu__L_e  -> ,,0,999999,0,Extracellular exchange
EX_glx_e,Glyoxylate exchange,glx_e  -> ,,0,999999,0,Extracellular exchange
EX_ade_e,Adenine exchange,ade_e  -> ,,0,999999,0,Extracellular exchange
EX_adn_e,Adenosine exchange,adn_e  -> ,,0,999999,0,Extracellular exchange
EX_akg_e,2-Oxoglutarate exchange,akg_e  -> ,,0,999999,0,Extracellular exchange
EX_ala__L_e,L-Alanine exchange,ala__L_e  -> ,,0,999999,0,Extracellular exchange
EX_gly_e,Glycine exchange,gly_e  -> ,,0,999999,0,Extracellular exchange
EX_glyc_e,Glycerol exchange,glyc_e  -> ,,0,999999,0,Extracellular exchange
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),aact_c + h2o_c + o2_c  -> h2o2_c + mthgxl_c + nh4_c ,,0,999999,0,S_Alternate_Carbon_Metabolism
EX_gsn_e,Guanosine exchange,gsn_e  -> ,,0,999999,0,Extracellular exchange
EX_gthox_e,Oxidized glutathione exchange,gthox_e  -> ,,0,999999,0,Extracellular exchange
EX_gthrd_e,Reduced glutathione exchange,gthrd_e  -> ,,0,999999,0,Extracellular exchange
EX_alltn_e,Allantoin exchange,alltn_e  -> ,,0,999999,0,Extracellular exchange
EX_alltt_e,Allantoate exchange,alltt_e  -> ,,0,999999,0,Extracellular exchange
EX_amet_e,S Adenosyl L methionine exchange,amet_e  -> ,,0,999999,0,Extracellular exchange
EX_arab__D_e,D Arabinose exchange,arab__D_e  -> ,,0,999999,0,Extracellular exchange
EX_arab__L_e,L-Arabinose exchange,arab__L_e  -> ,,0,999999,0,Extracellular exchange
EX_gua_e,Guanine exchange,gua_e  -> ,,0,999999,0,Extracellular exchange
EX_arg__L_e,L-Arginine exchange,arg__L_e  -> ,,0,999999,0,Extracellular exchange
EX_h2o_e,H2O exchange,h2o_e  <=> ,,-999999,999999,0,Extracellular exchange
AASAD1,L aminoadipate semialdehyde dehydrogenase  NADPH ,L2aadp_c + atp_c + h_c + nadph_c  -> L2aadp6sa_c + amp_c + ppi_c + nadp_c ,YBR115C and YGL154C,0,999999,0,S_Threonine_and_Lysine_Metabolism
EX_h_e,H+ exchange,h_e  <=> ,,-999999,999999,0,Extracellular exchange
